tempid,latitude,longitude
4,37.75245,-122.44662
4,37.75185,-122.44639
4,37.7519,-122.44662
4,37.75206,-122.44692
4,37.7521,-122.44712
4,37.7523,-122.44734
4,37.75243,-122.44746
4,37.75281,-122.4475
4,37.75266,-122.44753
4,37.75235,-122.44737
4,37.75209,-122.44715
4,37.75206,-122.44694
4,37.75189,-122.44665
4,37.75185,-122.44644
4,37.75265,-122.44649
4,37.75288,-122.44538
4,37.75314,-122.44464
4,37.75386,-122.44312
4,37.75517,-122.44239
4,37.75543,-122.44281
4,37.75628,-122.44119
4,37.75639,-122.44084
4,37.75637,-122.44094
4,37.75635,-122.44087
4,37.7564,-122.44015
4,37.75646,-122.43902
4,37.75698,-122.43897
4,37.75744,-122.43894
4,37.76064,-122.43925
4,37.76116,-122.43059
4,37.76141,-122.42622
4,37.76219,-122.42609
4,37.76628,-122.42646
4,37.7674,-122.4243
5,37.766284,-122.426503
5,37.762417,-122.435601
5,37.770084,-122.453711
5,37.770423,-122.443669
5,37.770389,-122.436888
5,37.766522,-122.435558
5,37.765911,-122.431009
5,37.765776,-122.426417
6,37.791888,-122.395082
6,37.793702,-122.397528
6,37.793329,-122.400125
6,37.793007,-122.402936
6,37.7926,-122.40609
6,37.792142,-122.40933
6,37.791769,-122.412377
6,37.789853,-122.411991
6,37.7916,-122.398666
6,37.791752,-122.398043
6,37.791193,-122.395597
7,37.78608,-122.433371
7,37.783502,-122.445816
8,37.77248,-122.40706
8,37.77115,-122.40525
8,37.77007,-122.40394
8,37.76985,-122.40356
8,37.76982,-122.40344
8,37.76988,-122.4024
8,37.77007,-122.40217
8,37.77,-122.40172
8,37.77005,-122.40082
8,37.76999,-122.40071
8,37.7701,-122.40057
8,37.76999,-122.39944
8,37.76997,-122.39937
8,37.76936,-122.3986
8,37.76953,-122.39839
8,37.76953,-122.39839
8,37.76975,-122.39834
8,37.76984,-122.39821
8,37.77007,-122.39817
8,37.77042,-122.39744
8,37.77065,-122.39734
8,37.77068,-122.39701
8,37.77112,-122.39639
8,37.77276,-122.39431
8,37.77275,-122.3937
8,37.7744,-122.39163
8,37.77443,-122.39167
8,37.777163,-122.390337
8,37.778455,-122.385378
8,37.777133,-122.390356
8,37.770382,-122.399368
8,37.76965,-122.39822
8,37.76951,-122.39841
8,37.76951,-122.39841
8,37.76936,-122.3986
8,37.76997,-122.39937
8,37.77011,-122.40041
8,37.76999,-122.40071
8,37.77005,-122.40082
8,37.77002,-122.40132
8,37.769976,-122.402113
8,37.77007,-122.40217
